Price,Beds,Baths,Garage,Size_sqm,Province
3500000.0,5.0,3.0,4.0,830.0,Eastern Cape
1780000.0,3.0,2.0,2.0,315.0,Eastern Cape
1100000.0,3.0,2.0,1.0,276.0,Eastern Cape
3200000.0,4.0,3.0,8.0,694.0,Eastern Cape
1500000.0,2.0,1.0,2.0,1673.0,Eastern Cape
1750000.0,3.0,2.0,1.0,158.0,Eastern Cape
3995000.0,4.0,3.0,2.0,555.0,Eastern Cape
1750000.0,3.0,3.0,3.0,708.0,Eastern Cape
789000.0,2.0,1.0,2.0,86.18057648141678,Eastern Cape
1495000.0,3.0,2.0,2.0,163.29526215426878,Eastern Cape
1150000.0,0.0,0.0,0.0,276.0,Eastern Cape
3595000.0,5.0,6.0,4.0,943.0,Eastern Cape
1699000.0,3.0,2.0,4.0,876.0,Eastern Cape
1450000.0,3.0,2.0,6.0,974.0,Eastern Cape
860000.0,2.0,1.0,2.0,93.93573608874325,Eastern Cape
3195000.0,4.0,2.0,3.0,1009.0,Eastern Cape
3999999.0,4.0,3.0,2.0,714.0,Eastern Cape
1250000.0,3.0,2.0,2.0,136.53450012898728,Eastern Cape
2820000.0,4.0,3.0,2.0,617.0,Eastern Cape
1100000.0,3.0,1.0,0.0,120.15036011350881,Eastern Cape
2650000.0,3.0,2.0,2.0,600.0,Eastern Cape
2095000.0,3.0,2.0,2.0,407.0,Eastern Cape
890000.0,2.0,1.0,1.0,97.21256409183894,Eastern Cape
995000.0,2.0,1.0,2.0,149.0,Eastern Cape
779000.0,2.0,1.0,0.0,120.0,Eastern Cape
2995000.0,3.0,2.0,2.0,846.0,Eastern Cape
1950000.0,4.0,3.0,2.0,1707.0,Eastern Cape
1700000.0,2.0,3.0,2.0,495.0,Eastern Cape
2650000.0,5.0,3.0,6.0,911.0,Eastern Cape
1195000.0,3.0,2.0,2.0,141.0,Eastern Cape
790000.0,2.0,1.0,1.0,86.28980408151996,Eastern Cape
799000.0,2.0,1.0,5.0,230.0,Eastern Cape
1299000.0,3.0,2.0,5.0,545.0,Eastern Cape
1029999.0,3.0,1.0,2.0,280.0,Eastern Cape
929999.0,2.0,1.0,2.0,280.0,Eastern Cape
1299000.0,2.0,1.0,0.0,141.88665253404358,Eastern Cape
3370000.0,3.0,2.0,1.0,368.0970123477497,Eastern Cape
600000.0,2.0,1.0,0.0,65.53656006191389,Eastern Cape
1250000.0,5.0,2.0,1.0,136.53450012898728,Eastern Cape
1300000.0,3.0,2.0,2.0,141.99588013414677,Eastern Cape
849000.0,4.0,1.0,1.0,92.73423248760817,Eastern Cape
2495000.0,4.0,4.0,2.0,1337.0,Eastern Cape
865000.0,2.0,1.0,1.0,131.0,Eastern Cape
750000.0,4.0,0.0,0.0,467.0,Eastern Cape
2090000.0,5.0,3.0,4.0,1027.0,Eastern Cape
2400000.0,3.0,2.0,2.0,688.0,Eastern Cape
2550000.0,3.0,2.0,4.0,756.0,Eastern Cape
1050000.0,3.0,2.0,2.0,745.0,Eastern Cape
3495000.0,4.0,3.0,2.0,1269.0,Eastern Cape
1590000.0,3.0,1.0,2.0,949.0,Eastern Cape
750000.0,3.0,2.0,3.0,216.0,Eastern Cape
1695000.0,2.0,2.0,2.0,209.0,Eastern Cape
3200000.0,4.0,4.0,8.0,2116.0,Eastern Cape
550000.0,2.0,1.0,1.0,60.075180056754405,Eastern Cape
2300000.0,5.0,5.0,2.0,1007.0,Eastern Cape
1395000.0,2.0,2.0,1.0,152.37250214394982,Eastern Cape
900000.0,2.0,1.0,1.0,300.0,Eastern Cape
1950000.0,3.0,2.0,5.0,1013.0,Eastern Cape
1780000.0,5.0,3.0,2.0,934.0,Eastern Cape
1300000.0,3.0,2.0,2.0,150.0,Eastern Cape
2350000.0,4.0,2.0,3.0,906.0,Eastern Cape
1380000.0,3.0,2.0,4.0,150.73408814240196,Eastern Cape
1199000.0,3.0,2.0,2.0,130.9638925237246,Eastern Cape
4295000.0,4.0,3.0,4.0,329.0,Eastern Cape
1450000.0,4.0,3.0,3.0,595.0,Eastern Cape
1055000.0,2.0,1.0,0.0,115.23511810886527,Eastern Cape
800000.0,3.0,2.0,0.0,87.38208008255187,Eastern Cape
550000.0,3.0,1.0,3.0,421.0,Eastern Cape
2280000.0,3.0,2.0,1.0,249.0389282352728,Eastern Cape
990000.0,2.0,2.0,1.0,202.0,Eastern Cape
1397500.0,3.0,1.0,6.0,152.6455711442078,Eastern Cape
1650000.0,3.0,2.0,0.0,616.0,Eastern Cape
2150000.0,3.0,3.0,0.0,234.83934022185812,Eastern Cape
695000.0,4.0,1.0,1.0,329.0,Eastern Cape
1329999.0,3.0,2.0,2.0,280.0,Eastern Cape
989999.0,2.0,1.0,2.0,280.0,Eastern Cape
4500000.0,5.0,2.0,0.0,491.52420046435424,Eastern Cape
1245000.0,3.0,2.0,5.0,168.0,Eastern Cape
2000000.0,3.0,2.0,2.0,218.45520020637966,Eastern Cape
3100000.0,5.0,3.0,5.0,1849.0,Eastern Cape
1900000.0,5.0,3.0,2.0,1260.0,Eastern Cape
3695000.0,4.0,4.0,2.0,1228.0,Eastern Cape
500000.0,3.0,1.0,4.0,325.0,Eastern Cape
595000.0,2.0,2.0,0.0,64.99042206139795,Eastern Cape
4380000.0,5.0,5.0,2.0,1528.0,Eastern Cape
750000.0,4.0,1.0,1.0,300.0,Eastern Cape
873000.0,2.0,1.0,1.0,95.35569489008472,Eastern Cape
825000.0,2.0,1.0,0.0,240.0,Eastern Cape
1400000.0,3.0,3.0,2.0,152.91864014446574,Eastern Cape
949999.0,2.0,2.0,0.0,240.0,Eastern Cape
1395000.0,3.0,2.0,1.0,152.37250214394982,Eastern Cape
900000.0,1.0,1.0,1.0,98.30484009287085,Eastern Cape
1595000.0,2.0,2.0,1.0,174.21802216458778,Eastern Cape
950000.0,3.0,2.0,4.0,628.0,Eastern Cape
2500000.0,0.0,2.0,0.0,1804.0,Eastern Cape
1298000.0,5.0,2.0,3.0,141.77742493394038,Eastern Cape
795000.0,3.0,2.0,0.0,86.83594208203591,Eastern Cape
530000.0,2.0,1.0,4.0,57.89062805469061,Eastern Cape
900000.0,3.0,1.0,5.0,238.0,Eastern Cape
895000.0,2.0,1.0,1.0,97.7587020923549,Eastern Cape
980000.0,3.0,3.0,1.0,107.04304810112603,Eastern Cape
3750000.0,3.0,0.0,2.0,851.0,Eastern Cape
1200000.0,3.0,2.0,2.0,131.07312012382778,Eastern Cape
1295000.0,2.0,1.0,1.0,274.0,Eastern Cape
865000.0,2.0,1.0,0.0,94.4818740892592,Eastern Cape
2300000.0,4.0,1.0,6.0,251.2234802373366,Eastern Cape
2590000.0,3.0,2.0,6.0,1330.0,Eastern Cape
695000.0,3.0,1.0,0.0,75.91318207171693,Eastern Cape
520000.0,2.0,2.0,0.0,56.79835205365871,Eastern Cape
585000.0,3.0,1.0,0.0,63.898146060366045,Eastern Cape
2295000.0,4.0,2.0,6.0,1011.0,Eastern Cape
825000.0,4.0,2.0,1.0,90.1127700851316,Eastern Cape
760000.0,2.0,1.0,0.0,83.01297607842427,Eastern Cape
1790000.0,3.0,2.0,2.0,852.0,Eastern Cape
3699000.0,3.0,2.0,4.0,549.0,Eastern Cape
2695000.0,4.0,3.0,3.0,1749.0,Eastern Cape
4300000.0,4.0,3.0,2.0,469.67868044371625,Eastern Cape
