Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
3 Bedroom Townhouse,1380000.0,3.0,2.0,1.0,,,
4 Bedroom House,963000.0,4.0,2.0,2.0,317.0,,
4 Bedroom House,300000.0,4.0,1.0,1.0,255.0,,
4 Bedroom House,2130000.0,4.0,2.0,4.0,827.0,,
3 Bedroom House,2120000.0,3.0,25.0,2.0,373.0,,
2 Bedroom House,1450000.0,2.0,1.0,,2538.0,,
3 Bedroom Apartment,1295000.0,3.0,3.0,1.0,139.0,,
4 Bedroom Townhouse,2980000.0,4.0,4.0,2.0,,,
4 Bedroom House,3990000.0,4.0,4.0,2.0,1.0,,
3 Bedroom House,590000.0,3.0,1.0,1.0,250.0,,
3 Bedroom Townhouse,1280000.0,3.0,2.0,2.0,,,
2 Bedroom Townhouse,700000.0,2.0,1.0,1.0,74.0,,
2 Bedroom House,870000.0,2.0,1.0,2.0,768.0,,
3 Bedroom Townhouse,1250000.0,3.0,2.0,1.0,480.0,,
4 Bedroom House,1180000.0,4.0,2.0,1.0,1048.0,,
3 Bedroom House,710000.0,3.0,2.0,2.0,,,
3 Bedroom House,1800000.0,3.0,2.0,4.0,1695.0,,
4 Bedroom House,400000.0,4.0,2.0,1.0,653.0,Grootvlei,
2 Bedroom House,4837500.0,2.0,1.0,1.0,4283.0,,
3 Bedroom Apartment,850000.0,3.0,2.0,1.0,,,
4 Bedroom House,5995000.0,4.0,5.0,2.0,29700.0,32 Yaverland,
2 Bedroom Apartment,790000.0,2.0,1.0,2.0,,,
3 Bedroom House,1980000.0,3.0,2.0,3.0,,,
2 Bedroom Apartment,768000.0,2.0,1.0,,,,
3 Bedroom House,1100000.0,3.0,2.0,1.0,387.0,,
4 Bedroom House,2849000.0,4.0,2.0,6.0,1018.0,,
1 Bedroom Apartment,450000.0,1.0,1.0,1.0,,,
4 Bedroom House,2100000.0,4.0,2.0,2.0,1368.0,,
4 Bedroom House,1890000.0,4.0,25.0,4.0,527.0,,
2 Bedroom Apartment,768000.0,2.0,1.0,,,,
3 Bedroom Townhouse,781000.0,3.0,2.0,,,,
3 Bedroom House,2999000.0,3.0,3.0,4.0,1531.0,,
3 Bedroom House,500000.0,3.0,2.0,2.0,2855.0,,
4 Bedroom House,1300000.0,4.0,2.0,,,,
3 Bedroom House,950000.0,3.0,2.0,1.0,720.0,,
5 Bedroom House,2975000.0,5.0,4.0,4.0,863.0,,
4 Bedroom House,1598000.0,4.0,3.0,2.0,,,
4 Bedroom House,2650000.0,4.0,2.0,6.0,1977.0,,
4 Bedroom House,11800000.0,4.0,5.0,7.0,2100.0,,
3 Bedroom Townhouse,1558000.0,3.0,2.0,1.0,,40 Greenway Woods,
3 Bedroom House,1310000.0,3.0,2.0,4.0,1133.0,,
10 Bedroom House,5857500.0,10.0,9.0,,,,
2 Bedroom Townhouse,600000.0,2.0,2.0,2.0,,,
3 Bedroom House,1869000.0,3.0,2.0,2.0,1132.0,15 Protea Crescent,
3 Bedroom House,1310000.0,3.0,2.0,4.0,1133.0,,
