Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
3 Bedroom House,1878000.0,3.0,2.0,1.0,,,
3 Bedroom Apartment,1100000.0,3.0,2.0,4.0,,,
2 Bedroom Apartment,630000.0,2.0,1.0,,,,
2 Bedroom Apartment,650000.0,2.0,1.0,,,,
1 Bedroom Apartment,699000.0,1.0,1.0,1.0,,,
3 Bedroom Townhouse,1990000.0,3.0,25.0,5.0,,,
3 Bedroom Townhouse,1289000.0,3.0,2.0,1.0,,,
2 Bedroom Apartment,925000.0,2.0,2.0,2.0,,,
1 Bedroom Apartment,,1.0,1.0,1.0,,,
4 Bedroom House,3300000.0,4.0,2.0,3.0,1036.0,,
3 Bedroom Apartment,3299500.0,3.0,3.0,2.0,,,
4 Bedroom House,4450000.0,4.0,2.0,2.0,1141.0,,
2 Bedroom Townhouse,990000.0,2.0,2.0,2.0,,,
1 Bedroom House,1290000.0,1.0,1.0,1.0,,"27 The Firs, 39 Karee Street",
3 Bedroom Apartment,1999900.0,3.0,2.0,2.0,,Number 1 Ethel Ave,
2 Bedroom Apartment,400000.0,2.0,1.0,1.0,,8 Schoeman Street,
2 Bedroom Apartment,999000.0,2.0,1.0,1.0,,,
3 Bedroom House,1350000.0,3.0,2.0,8.0,909.0,,
2 Bedroom Apartment,1700000.0,2.0,2.0,2.0,,,
3 Bedroom House,1350000.0,3.0,2.0,8.0,909.0,,
4 Bedroom House,990000.0,4.0,4.0,4.0,13000.0,,
House,2250000.0,,,,1115.0,114 Verdoorn Street,
4 Bedroom House,1499000.0,4.0,2.0,6.0,516.0,,
3 Bedroom House,3310000.0,3.0,3.0,3.0,,,
5 Bedroom House,1790000.0,5.0,25.0,3.0,1910.0,,
3 Bedroom House,663500.0,3.0,1.0,4.0,190.0,,
3 Bedroom House,2990000.0,3.0,25.0,4.0,378.0,,
2 Bedroom Apartment,720000.0,2.0,2.0,1.0,,,
5 Bedroom House,7250000.0,5.0,45.0,5.0,757.0,,
3 Bedroom Apartment,749995.0,3.0,1.0,1.0,,,
4 Bedroom House,1200000.0,4.0,3.0,8.0,813.0,,
5 Bedroom House,1300000.0,5.0,2.0,2.0,,,
2 Bedroom Apartment,1349999.0,2.0,2.0,2.0,,,
2 Bedroom Apartment,1100000.0,2.0,2.0,2.0,,"Equestria Estate, 20 Vlottenburg Equestria",
3 Bedroom House,960000.0,3.0,2.0,4.0,700.0,,
5 Bedroom House,5500000.0,5.0,4.0,3.0,1045.0,,
4 Bedroom House,3300000.0,4.0,35.0,4.0,242.0,,
3 Bedroom Apartment,2900000.0,3.0,2.0,2.0,,,
1 Bedroom Apartment,2899000.0,1.0,1.0,1.0,,163 5th St,
5 Bedroom House,3450000.0,5.0,3.0,2.0,,,
