Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
2 Bedroom Apartment,630000.0,2.0,1.0,,,,
1 Bedroom Apartment,450000.0,1.0,1.0,,,,
2 Bedroom Townhouse,1245000.0,2.0,2.0,1.0,,,
2 Bedroom Apartment,710000.0,2.0,1.0,,,,
4 Bedroom House,990000.0,4.0,2.0,1.0,,,
2 Bedroom Apartment,925000.0,2.0,1.0,,,,
3 Bedroom House,550000.0,3.0,1.0,1.0,545.0,,
4 Bedroom House,375000.0,4.0,1.0,1.0,450.0,,
Apartment,140000.0,,1.0,,,,
2 Bedroom House,995000.0,2.0,2.0,,,,
House,280000.0,,,,,,
2 Bedroom Apartment,1399000.0,2.0,15.0,1.0,,,
4 Bedroom Apartment,1050000.0,4.0,1.0,2.0,,,
3 Bedroom Townhouse,3200000.0,3.0,2.0,3.0,,,
2 Bedroom House,595000.0,2.0,1.0,,,,
4 Bedroom House,990000.0,4.0,2.0,1.0,,,
2 Bedroom House,220000.0,2.0,,,,,
1 Bedroom Apartment,1550000.0,1.0,1.0,1.0,6438.0,,
3 Bedroom Apartment,7995000.0,3.0,3.0,2.0,,,
3 Bedroom Apartment,625000.0,3.0,1.0,1.0,,,
3 Bedroom House,890000.0,3.0,3.0,,,,
3 Bedroom House,700000.0,3.0,1.0,,375.0,,
5 Bedroom House,19500000.0,5.0,4.0,3.0,1827.0,36 Horsewood Drive,
3 Bedroom Apartment,3150000.0,3.0,2.0,2.0,,,
3 Bedroom Apartment,1850000.0,3.0,2.0,1.0,,,
2 Bedroom Apartment,795000.0,2.0,2.0,1.0,,"104 Seabrook Flats, 8 Panorama Parade",
3 Bedroom Townhouse,1535000.0,3.0,2.0,3.0,1620000.0,Faerie Glen 1 Canterbury Rd,
3 Bedroom House,1050000.0,3.0,2.0,3.0,1012.0,,
4 Bedroom House,6925000.0,4.0,4.0,22.0,,,
3 Bedroom Townhouse,4950000.0,3.0,35.0,3.0,,21 Sibaya Drive,
