Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
2 Bedroom Townhouse,2850000.0,2.0,25.0,1.0,40967.0,,
3 Bedroom House,1930000.0,3.0,2.0,2.0,,,
3 Bedroom Townhouse,1100000.0,3.0,2.0,1.0,15066.0,,
4 Bedroom House,1600000.0,4.0,2.0,,1.0,,
5 Bedroom House,1950000.0,5.0,2.0,2.0,2231.0,,
6 Bedroom House,3500000.0,6.0,5.0,6.0,1078.0,,
3 Bedroom House,3584000.0,3.0,1.0,3.0,2083.0,,
4 Bedroom House,2299000.0,4.0,4.0,4.0,,,
2 Bedroom House,850000.0,2.0,1.0,2.0,105.0,,
3 Bedroom House,4900000.0,3.0,3.0,2.0,,,
3 Bedroom House,850000.0,3.0,2.0,,392.0,,
4 Bedroom House,2950000.0,4.0,3.0,1.0,440.0,,
3 Bedroom House,1850000.0,3.0,2.0,2.0,,,
1 Bedroom Apartment,279000.0,1.0,1.0,2.0,,,
3 Bedroom House,820790.0,3.0,2.0,1.0,226.0,,
3 Bedroom House,720000.0,3.0,1.0,,600.0,,
6 Bedroom House,7740000.0,6.0,6.0,3.0,136107.0,,
3 Bedroom House,1032000.0,3.0,3.0,3.0,,,
3 Bedroom House,1595500.0,3.0,2.0,3.0,848.0,,
3 Bedroom House,1295000.0,3.0,1.0,4.0,1459.0,,
2 Bedroom Apartment,761000.0,2.0,1.0,1.0,,,
4 Bedroom House,3780000.0,4.0,35.0,2.0,192.0,,
3 Bedroom House,8000000.0,3.0,1.0,6.0,1427.0,,
1 Bedroom House,120000.0,1.0,1.0,,1200.0,,
3 Bedroom Apartment,1550000.0,3.0,2.0,1.0,,,
3 Bedroom House,1200000.0,3.0,2.0,1.0,276.0,,
2 Bedroom House,1100000.0,2.0,2.0,1.0,250.0,,
3 Bedroom House,980000.0,3.0,2.0,1.0,724.0,,
4 Bedroom House,2300000.0,4.0,3.0,1.0,1019.0,3a Thys Marais Street,
4 Bedroom House,2600000.0,4.0,4.0,4.0,1101.0,,
3 Bedroom House,680000.0,3.0,2.0,1.0,450.0,,
3 Bedroom Townhouse,1495000.0,3.0,2.0,4.0,,,
2 Bedroom Apartment,940000.0,2.0,1.0,1.0,,,
2 Bedroom House,1100000.0,2.0,2.0,1.0,250.0,,
3 Bedroom House,1150000.0,3.0,2.0,1.0,400.0,,
5 Bedroom House,4300000.0,5.0,4.0,3.0,749.0,,
4 Bedroom House,1580000.0,4.0,2.0,4.0,,,
4 Bedroom House,3480000.0,4.0,35.0,4.0,1260.0,,
4 Bedroom House,5000000.0,4.0,4.0,6.0,,,
3 Bedroom House,920000.0,3.0,2.0,1.0,325.0,,
3 Bedroom House,930000.0,3.0,1.0,,765.0,,
2 Bedroom Apartment,690000.0,2.0,1.0,1.0,,,
3 Bedroom House,2100000.0,3.0,1.0,6.0,1427.0,,
4 Bedroom House,1580000.0,4.0,2.0,4.0,,,
4 Bedroom House,2980000.0,4.0,35.0,2.0,1320.0,,
6 Bedroom House,4900000.0,6.0,6.0,,10000.0,,
5 Bedroom House,1999000.0,5.0,3.0,7.0,600.0,,
5 Bedroom House,3120000.0,5.0,35.0,2.0,415.0,,
5 Bedroom House,4028000.0,5.0,45.0,6.0,2359.0,,
1 Bedroom Apartment,460000.0,1.0,1.0,,,,
3 Bedroom House,1280000.0,3.0,2.0,2.0,301.0,,
6 Bedroom House,1620000.0,6.0,4.0,4.0,623.0,,
3 Bedroom House,690000.0,3.0,1.0,,462.0,,
4 Bedroom House,2850000.0,4.0,25.0,2.0,703.0,,
House,,,,,947.0,,
13 Bedroom House,5430000.0,13.0,6.0,3.0,1487.0,,
