Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
5 Bedroom House,1350000.0,5.0,4.0,2.0,588.0,"8 Kings Terraces, 8 Kings Terrace Street",
4 Bedroom House,6350000.0,4.0,4.0,4.0,1519.0,101 Bellingan Crescent,
9 Bedroom House,2850000.0,9.0,6.0,6.0,2453.0,,
29 Bedroom House,35000000.0,29.0,29.0,39.0,6521.0,,
6 Bedroom House,1949000.0,6.0,3.0,2.0,718.0,,
3 Bedroom Townhouse,960000.0,3.0,2.0,2.0,8085.0,1680 Brian,
1 Bedroom Apartment,410000.0,1.0,1.0,1.0,,,
2 Bedroom House,470000.0,2.0,1.0,1.0,262.0,,
3 Bedroom House,855000.0,3.0,1.0,,,,
3 Bedroom House,1850000.0,3.0,2.0,8.0,1324.0,,
2 Bedroom Apartment,890000.0,2.0,1.0,2.0,,,
5 Bedroom House,,5.0,4.0,2.0,970.0,4 Beach Crescent,
2 Bedroom House,250000.0,2.0,1.0,,200.0,26 Ngubelanga,
4 Bedroom House,1895000.0,4.0,25.0,2.0,549.0,,
3 Bedroom House,1449000.0,3.0,2.0,4.0,405.0,,
3 Bedroom House,1199000.0,3.0,2.0,2.0,280.0,55 New Horizon Village,
3 Bedroom House,1199000.0,3.0,2.0,,280.0,4462 New Horizon Village (door No. 11),
3 Bedroom House,1590000.0,3.0,15.0,4.0,,52 Livingstone Road,
3 Bedroom House,1199000.0,3.0,2.0,2.0,280.0,55 New Horizon Village,
4 Bedroom House,1995000.0,4.0,4.0,3.0,997.0,62 Vincent Road,
1 Bedroom House,800000.0,1.0,1.0,1.0,139.0,,
3 Bedroom House,1195000.0,3.0,2.0,4.0,941.0,,
3 Bedroom House,1295000.0,3.0,2.0,2.0,486.0,,
3 Bedroom House,1950000.0,3.0,2.0,2.0,1013.0,,
3 Bedroom House,980000.0,3.0,2.0,2.0,1428.0,,
3 Bedroom House,1750000.0,3.0,2.0,2.0,1182.0,6 Houtkapperlaan/avenue,
3 Bedroom House,2500000.0,3.0,2.0,4.0,698.0,,
4 Bedroom House,3300000.0,4.0,2.0,2.0,2598.0,50 Gordon,
4 Bedroom House,2400000.0,4.0,4.0,2.0,633.0,,
4 Bedroom House,3795000.0,4.0,2.0,3.0,1025.0,,
7 Bedroom House,2690000.0,7.0,6.0,2.0,6167.0,66 Francis Street,
3 Bedroom Townhouse,1750000.0,3.0,2.0,2.0,320.0,"71 Villagio Gioia, 32 Bird",
7 Bedroom House,2690000.0,7.0,6.0,2.0,6167.0,66 Francis Street,
3 Bedroom Townhouse,1805000.0,3.0,2.0,2.0,,"46 Walnut Grove, 10 Sterkstroom Road",
2 Bedroom Townhouse,999950.0,2.0,1.0,2.0,312.0,243 Brickfield Park,
4 Bedroom House,2945000.0,4.0,25.0,4.0,225.0,"4 Ros Lee Gardens, 11 Stanmore Road",
1 Bedroom Apartment,525000.0,1.0,1.0,,,"7 Clifford Court, 20 Clifford Street",
2 Bedroom Apartment,520000.0,2.0,1.0,,,,
4 Bedroom House,1150000.0,4.0,2.0,2.0,,,
2 Bedroom Apartment,599000.0,2.0,1.0,1.0,,"8 Ss Hurstwood, 3 Surbiton Street",
3 Bedroom Townhouse,1450000.0,3.0,3.0,2.0,194.0,,
5 Bedroom House,3500000.0,5.0,3.0,4.0,830.0,20 (347) Alistair Street,
3 Bedroom House,1780000.0,3.0,2.0,2.0,315.0,,
3 Bedroom House,1100000.0,3.0,2.0,1.0,276.0,,
4 Bedroom House,3200000.0,4.0,3.0,8.0,694.0,,
2 Bedroom House,1500000.0,2.0,1.0,2.0,1673.0,15 Burt Drive,
4 Bedroom House,3200000.0,4.0,3.0,8.0,694.0,,
3 Bedroom Townhouse,1750000.0,3.0,2.0,1.0,158.0,,
4 Bedroom House,3995000.0,4.0,3.0,2.0,555.0,,
3 Bedroom House,1750000.0,3.0,3.0,3.0,708.0,,
2 Bedroom Townhouse,789000.0,2.0,1.0,2.0,,,
3 Bedroom Townhouse,1495000.0,3.0,2.0,2.0,,,
House,1150000.0,,,,276.0,,
3 Bedroom Townhouse,915000.0,3.0,25.0,2.0,200.0,,
5 Bedroom House,3595000.0,5.0,6.0,4.0,943.0,,
3 Bedroom House,1699000.0,3.0,2.0,4.0,876.0,1 Eddie Muller Street,
3 Bedroom House,1450000.0,3.0,2.0,6.0,974.0,,
2 Bedroom Apartment,860000.0,2.0,1.0,2.0,,,
4 Bedroom House,3195000.0,4.0,2.0,3.0,1009.0,,
4 Bedroom House,1890000.0,4.0,2.0,10.0,992.0,10 Middel Street,
4 Bedroom House,3999999.0,4.0,3.0,2.0,714.0,3 Melville Road,
3 Bedroom Townhouse,1250000.0,3.0,2.0,2.0,,,
4 Bedroom House,2820000.0,4.0,3.0,2.0,617.0,,
3 Bedroom House,1100000.0,3.0,1.0,,,,
3 Bedroom House,2650000.0,3.0,2.0,2.0,600.0,,
3 Bedroom House,2095000.0,3.0,2.0,2.0,407.0,,
2 Bedroom Townhouse,890000.0,2.0,1.0,1.0,,,
2 Bedroom Townhouse,995000.0,2.0,1.0,2.0,149.0,,
2 Bedroom House,230000.0,2.0,1.0,1.0,,,
2 Bedroom House,779000.0,2.0,1.0,,120.0,35 Maia Street,
4 Bedroom House,5500000.0,4.0,5.0,2.0,6707.0,22 Wapadsberg Road,
3 Bedroom House,2995000.0,3.0,2.0,2.0,846.0,,
4 Bedroom House,1950000.0,4.0,3.0,2.0,1707.0,,
2 Bedroom House,499000.0,2.0,1.0,2.0,,,
2 Bedroom House,520000.0,2.0,1.0,,,,
2 Bedroom House,1700000.0,2.0,3.0,2.0,495.0,17 Dove,
5 Bedroom House,2650000.0,5.0,3.0,6.0,911.0,,
3 Bedroom House,1195000.0,3.0,2.0,2.0,141.0,,
2 Bedroom House,779000.0,2.0,1.0,,120.0,35 Maia Street,
5 Bedroom Townhouse,11500000.0,5.0,4.0,8.0,1973.0,,
2 Bedroom Townhouse,790000.0,2.0,1.0,1.0,,Section 29 Umlele Hills C,
2 Bedroom House,799000.0,2.0,1.0,5.0,230.0,,
3 Bedroom House,1299000.0,3.0,2.0,5.0,545.0,,
3 Bedroom House,1029999.0,3.0,1.0,2.0,280.0,37 New Horizon Village,
2 Bedroom House,929999.0,2.0,1.0,2.0,280.0,41 New Horizon Village,
2 Bedroom House,1299000.0,2.0,1.0,,,,
2 Bedroom Townhouse,1100000.0,2.0,15.0,1.0,20229.0,"56 Settler Sands, 56 West Beach Drive",
8 Bedroom House,2900000.0,8.0,5.0,4.0,1152.0,,
3 Bedroom Apartment,3370000.0,3.0,2.0,1.0,,,
2 Bedroom House,600000.0,2.0,1.0,,,,
5 Bedroom House,1250000.0,5.0,2.0,1.0,,,
3 Bedroom Apartment,1300000.0,3.0,2.0,2.0,,,
4 Bedroom Apartment,849000.0,4.0,1.0,1.0,,58 St Georges Road,
4 Bedroom House,2495000.0,4.0,4.0,2.0,1337.0,,
