Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
3 Bedroom Apartment,2490000.0,3.0,2.0,2.0,,,
3 Bedroom Apartment,1750000.0,3.0,2.0,2.0,,"402 River Meade, 115 Atholl Oaklands Road",
1 Bedroom Apartment,350000.0,1.0,1.0,,,"226 Ss 100 Jorissen, 100 Jorissen Street",
Commercial Property,3000000.0,,,,1144.0,93 Victoria Street,
3 Bedroom Townhouse,1195000.0,3.0,2.0,2.0,98.0,"45 Amari Heights, 44 Kougas Street",
3 Bedroom Apartment,950000.0,3.0,15.0,,,,
5 Bedroom House,1750000.0,5.0,3.0,5.0,1086.0,41 East,
3 Bedroom Townhouse,1350000.0,3.0,3.0,1.0,,"The Aloes, 4 Mountbank Road",
1 Bedroom Townhouse,545000.0,1.0,1.0,1.0,12454.0,"133 Waterfield Park, 2 Adelaide",
Vacant Land,1200000.0,,,,929.0,,
5 Bedroom House,1750000.0,5.0,3.0,5.0,1086.0,41 East,
4 Bedroom Apartment,1950000.0,4.0,3.0,4.0,,,
6 Bedroom House,2850000.0,6.0,2.0,2.0,993.0,,
2 Bedroom Apartment,655000.0,2.0,2.0,2.0,,2 Daman Road,
2 Bedroom Townhouse,850000.0,2.0,1.0,2.0,,"7 Exeter, 27 Pieter Ackroyd Avenue",
6 Bedroom House,5999000.0,6.0,65.0,14.0,3718.0,13 Campbell Street,
3 Bedroom Apartment,1695000.0,3.0,2.0,3.0,,91 Alinta / 241 Bellairs Drive,
2 Bedroom Apartment,1650000.0,2.0,2.0,1.0,,,
4 Bedroom House,3800000.0,4.0,3.0,2.0,1578.0,,
3 Bedroom Apartment,825000.0,3.0,2.0,2.0,,"78 Ss Bolder View, 2 #svn Risana Avenue",
1 Bedroom Apartment,499000.0,1.0,15.0,2.0,,,
1 Bedroom Apartment,499000.0,1.0,15.0,2.0,,,
4 Bedroom Townhouse,1925000.0,4.0,3.0,2.0,,,
2 Bedroom Apartment,685000.0,2.0,1.0,1.0,,,
4 Bedroom House,1925000.0,4.0,3.0,5.0,4737.0,37 Soetdoring Avenue,
2 Bedroom Townhouse,1700000.0,2.0,2.0,2.0,,,
1 Bedroom Apartment,990000.0,1.0,1.0,1.0,,,
4 Bedroom House,1399000.0,4.0,2.0,6.0,1383.0,25 Risana Avenue,
4 Bedroom House,2990000.0,4.0,2.0,,,217 Vorster Avenue,
9 Bedroom House,2999000.0,9.0,3.0,8.0,740.0,,
2 Bedroom House,599000.0,2.0,1.0,,8831.0,"26 Silver Lakes, 1 Buitekant Street",
Industrial Property,6000000.0,,,,,11 Verwey Street,
3 Bedroom Apartment,1590000.0,3.0,2.0,1.0,,,
3 Bedroom House,1790000.0,3.0,1.0,4.0,996.0,7 Thibault Street,
2 Bedroom Townhouse,725000.0,2.0,1.0,1.0,,,
2 Bedroom Apartment,750000.0,2.0,2.0,1.0,,,
4 Bedroom House,1540000.0,4.0,2.0,2.0,1190.0,,
3 Bedroom House,4400000.0,3.0,3.0,2.0,,,
3 Bedroom Apartment,1299000.0,3.0,2.0,2.0,,,
3 Bedroom House,1390000.0,3.0,2.0,4.0,519.0,,
3 Bedroom House,1175000.0,3.0,2.0,2.0,,,
11 Bedroom House,1900000.0,11.0,5.0,7.0,495.0,11 Riebeek,
Industrial Property,115000000.0,,,,,2 John,
2 Bedroom Townhouse,650000.0,2.0,1.0,1.0,11901.0,,
Vacant Land,950000.0,,,,308.0,31dn Pumice Street,
Industrial Property,10950000.0,,,,,88 Wriggle Road,
8 Bedroom House,995000.0,8.0,3.0,3.0,495.0,26#nklm Minnaar Street,
Industrial Property,5000000.0,,,,,65 Booysens Road,
2 Bedroom Apartment,475000.0,2.0,1.0,1.0,,,
4 Bedroom House,4950000.0,4.0,35.0,6.0,1027.0,,
2 Bedroom Apartment,800000.0,2.0,25.0,1.0,102.0,,
2 Bedroom Apartment,14500000.0,2.0,25.0,2.0,,,
